No.,Time,,Time 1,Time 2,Delay,,Rata2 Delay,,Delay 1,Delay 2,Var delay,,Total Var ,Jitter
143,1.345943,,1.345943,1.358264,0.012321,,,,0.012321,0.007186,-0.005135,,,
144,1.358264,,1.358264,1.36545,0.007186,,,,0.007186,0.012518,0.005332,,,
145,1.36545,,1.36545,1.377968,0.012518,,,,0.012518,0.007772,-0.004746,,,
146,1.377968,,1.377968,1.38574,0.007772,,,,0.007772,0.012682,0.00491,,,
147,1.38574,,1.38574,1.398422,0.012682,,,,0.012682,0.007035,-0.005647,,,
148,1.398422,,1.398422,1.405457,0.007035,,,,0.007035,0.012397,0.005362,,,
149,1.405457,,1.405457,1.417854,0.012397,,,,0.012397,0.00787,-0.004527,,,
150,1.417854,,1.417854,1.425724,0.00787,,,,0.00787,0.008265,0.000395,,,
151,1.425724,,1.425724,1.433989,0.008265,,,,0.008265,0.003872,-0.004393,,,
152,1.433989,,1.433989,1.437861,0.003872,,,,0.003872,0.007666,0.003794,,,
153,1.437861,,1.437861,1.445527,0.007666,,,,0.007666,0.01368,0.006014,,,
154,1.445527,,1.445527,1.459207,0.01368,,,,0.01368,0.006918,-0.006762,,,
155,1.459207,,1.459207,1.466125,0.006918,,,,0.006918,0.01215,0.005232,,,
156,1.466125,,1.466125,1.478275,0.01215,,,,0.01215,0.007415,-0.004735,,,
157,1.478275,,1.478275,1.48569,0.007415,,,,0.007415,0.013675,0.00626,,,
158,1.48569,,1.48569,1.499365,0.013675,,,,0.013675,0.006571,-0.007104,,,
159,1.499365,,1.499365,1.505936,0.006571,,,,0.006571,0.01227,0.005699,,,
160,1.505936,,1.505936,1.518206,0.01227,,,,0.01227,0.007448,-0.004822,,,
161,1.518206,,1.518206,1.525654,0.007448,,,,0.007448,0.014372,0.006924,,,
162,1.525654,,1.525654,1.540026,0.014372,,,,0.014372,0.005646,-0.008726,,,
163,1.540026,,1.540026,1.545672,0.005646,,,,0.005646,0.012612,0.006966,,,
164,1.545672,,1.545672,1.558284,0.012612,,,,0.012612,0.007599,-0.005013,,,
165,1.558284,,1.558284,1.565883,0.007599,,,,0.007599,0.012086,0.004487,,,
166,1.565883,,1.565883,1.577969,0.012086,,,,0.012086,0.007197,-0.004889,,,
167,1.577969,,1.577969,1.585166,0.007197,,,,0.007197,0.012662,0.005465,,,
168,1.585166,,1.585166,1.597828,0.012662,,,,0.012662,0.007619,-0.005043,,,
169,1.597828,,1.597828,1.605447,0.007619,,,,0.007619,0.012509,0.00489,,,
170,1.605447,,1.605447,1.617956,0.012509,,,,0.012509,0.007141,-0.005368,,,
171,1.617956,,1.617956,1.625097,0.007141,,,,0.007141,0.013257,0.006116,,,
172,1.625097,,1.625097,1.638354,0.013257,,,,0.013257,0.007557,-0.0057,,,
173,1.638354,,1.638354,1.645911,0.007557,,,,0.007557,0.012736,0.005179,,,
174,1.645911,,1.645911,1.658647,0.012736,,,,0.012736,0.006674,-0.006062,,,
175,1.658647,,1.658647,1.665321,0.006674,,,,0.006674,0.013274,0.0066,,,
176,1.665321,,1.665321,1.678595,0.013274,,,,0.013274,0.007364,-0.00591,,,
177,1.678595,,1.678595,1.685959,0.007364,,,,0.007364,0.014623,0.007259,,,
178,1.685959,,1.685959,1.700582,0.014623,,,,0.014623,0.004651,-0.009972,,,
179,1.700582,,1.700582,1.705233,0.004651,,,,0.004651,0.012986,0.008335,,,
180,1.705233,,1.705233,1.718219,0.012986,,,,0.012986,0.007766,-0.00522,,,
181,1.718219,,1.718219,1.725985,0.007766,,,,0.007766,0.01274,0.004974,,,
182,1.725985,,1.725985,1.738725,0.01274,,,,0.01274,0.00693,-0.00581,,,
183,1.738725,,1.738725,1.745655,0.00693,,,,0.00693,0.014353,0.007423,,,
184,1.745655,,1.745655,1.760008,0.014353,,,,0.014353,0.004978,-0.009375,,,
185,1.760008,,1.760008,1.764986,0.004978,,,,0.004978,0.013063,0.008085,,,
186,1.764986,,1.764986,1.778049,0.013063,,,,0.013063,0.007412,-0.005651,,,
187,1.778049,,1.778049,1.785461,0.007412,,,,0.007412,0.013276,0.005864,,,
188,1.785461,,1.785461,1.798737,0.013276,,,,0.013276,0.006454,-0.006822,,,
189,1.798737,,1.798737,1.805191,0.006454,,,,0.006454,0.013867,0.007413,,,
190,1.805191,,1.805191,1.819058,0.013867,,,,0.013867,0.006402,-0.007465,,,
191,1.819058,,1.819058,1.82546,0.006402,,,,0.006402,0.012913,0.006511,,,
192,1.82546,,1.82546,1.838373,0.012913,,,,0.012913,0.006713,-0.0062,,,
193,1.838373,,1.838373,1.845086,0.006713,,,,0.006713,0.003165,-0.003548,,,
194,1.845086,,1.845086,1.848251,0.003165,,,,0.003165,0.010225,0.00706,,,
195,1.848251,,1.848251,1.858476,0.010225,,,,0.010225,0.007154,-0.003071,,,
196,1.858476,,1.858476,1.86563,0.007154,,,,0.007154,0.014078,0.006924,,,
197,1.86563,,1.86563,1.879708,0.014078,,,,0.014078,0.005404,-0.008674,,,
198,1.879708,,1.879708,1.885112,0.005404,,,,0.005404,0.015983,0.010579,,,
199,1.885112,,1.885112,1.901095,0.015983,,,,0.015983,0.004564,-0.011419,,,
200,1.901095,,1.901095,1.905659,0.004564,,,,0.004564,0.012386,0.007822,,,
201,1.905659,,1.905659,1.918045,0.012386,,,,0.012386,0.007039,-0.005347,,,
202,1.918045,,1.918045,1.925084,0.007039,,,,0.007039,0.013484,0.006445,,,
203,1.925084,,1.925084,1.938568,0.013484,,,,0.013484,0.000491,-0.012993,,,
204,1.938568,,1.938568,1.939059,0.000491,,,,0.000491,0.006609,0.006118,,,
205,1.939059,,1.939059,1.945668,0.006609,,,,0.006609,0.012686,0.006077,,,
206,1.945668,,1.945668,1.958354,0.012686,,,,0.012686,0.006701,-0.005985,,,
207,1.958354,,1.958354,1.965055,0.006701,,,,0.006701,0.015899,0.009198,,,
208,1.965055,,1.965055,1.980954,0.015899,,,,0.015899,0.004546,-0.011353,,,
209,1.980954,,1.980954,1.9855,0.004546,,,,0.004546,0.012883,0.008337,,,
210,1.9855,,1.9855,1.998383,0.012883,,,,0.012883,0.006596,-0.006287,,,
211,1.998383,,1.998383,2.004979,0.006596,,,,0.006596,0.013728,0.007132,,,
212,2.004979,,2.004979,2.018707,0.013728,,,,0.013728,0.00692,-0.006808,,,
213,2.018707,,2.018707,2.025627,0.00692,,,,0.00692,0.008924,0.002004,,,
214,2.025627,,2.025627,2.034551,0.008924,,,,0.008924,0.000203,-0.008721,,,
215,2.034551,,2.034551,2.034754,0.000203,,,,0.000203,0.002132,0.001929,,,
216,2.034754,,2.034754,2.036886,0.002132,,,,0.002132,0.002771,0.000639,,,
217,2.036886,,2.036886,2.039657,0.002771,,,,0.002771,0.005429,0.002658,,,
218,2.039657,,2.039657,2.045086,0.005429,,,,0.005429,0.014224,0.008795,,,
219,2.045086,,2.045086,2.05931,0.014224,,,,0.014224,0.0063,-0.007924,,,
220,2.05931,,2.05931,2.06561,0.0063,,,,0.0063,0.012687,0.006387,,,
221,2.06561,,2.06561,2.078297,0.012687,,,,0.012687,0.006826,-0.005861,,,
222,2.078297,,2.078297,2.085123,0.006826,,,,0.006826,0.013252,0.006426,,,
223,2.085123,,2.085123,2.098375,0.013252,,,,0.013252,0.007043,-0.006209,,,
224,2.098375,,2.098375,2.105418,0.007043,,,,0.007043,0.013678,0.006635,,,
225,2.105418,,2.105418,2.119096,0.013678,,,,0.013678,0.005854,-0.007824,,,
226,2.119096,,2.119096,2.12495,0.005854,,,,0.005854,0.01375,0.007896,,,
227,2.12495,,2.12495,2.1387,0.01375,,,,0.01375,0.00702,-0.00673,,,
228,2.1387,,2.1387,2.14572,0.00702,,,,0.00702,0.012439,0.005419,,,
229,2.14572,,2.14572,2.158159,0.012439,,,,0.012439,0.00064,-0.011799,,,
230,2.158159,,2.158159,2.158799,0.00064,,,,0.00064,0.006165,0.005525,,,
231,2.158799,,2.158799,2.164964,0.006165,,,,0.006165,0.014049,0.007884,,,
232,2.164964,,2.164964,2.179013,0.014049,,,,0.014049,0.006574,-0.007475,,,
233,2.179013,,2.179013,2.185587,0.006574,,,,0.006574,0.013483,0.006909,,,
234,2.185587,,2.185587,2.19907,0.013483,,,,0.013483,0.006692,-0.006791,,,
235,2.19907,,2.19907,2.205762,0.006692,,,,0.006692,0.012442,0.00575,,,
236,2.205762,,2.205762,2.218204,0.012442,,,,0.012442,0.006969,-0.005473,,,
237,2.218204,,2.218204,2.225173,0.006969,,,,0.006969,0.012511,0.005542,,,
238,2.225173,,2.225173,2.237684,0.012511,,,,0.012511,0.008077,-0.004434,,,
239,2.237684,,2.237684,2.245761,0.008077,,,,0.008077,0.012008,0.003931,,,
240,2.245761,,2.245761,2.257769,0.012008,,,,0.012008,0.007432,-0.004576,,,
241,2.257769,,2.257769,2.265201,0.007432,,,,0.007432,0.013013,0.005581,,,
242,2.265201,,2.265201,2.278214,0.013013,,,,0.013013,0.007397,-0.005616,,,
243,2.278214,,2.278214,2.285611,0.007397,,,,0.007397,0.013036,0.005639,,,
244,2.285611,,2.285611,2.298647,0.013036,,,,0.013036,0.006631,-0.006405,,,
245,2.298647,,2.298647,2.305278,0.006631,,,,0.006631,0.014558,0.007927,,,
246,2.305278,,2.305278,2.319836,0.014558,,,,0.014558,0.005888,-0.00867,,,
247,2.319836,,2.319836,2.325724,0.005888,,,,0.005888,0.00045,-0.005438,,,
248,2.325724,,2.325724,2.326174,0.00045,,,,0.00045,0.000253,-0.000197,,,
249,2.326174,,2.326174,2.326427,0.000253,,,,0.000253,0.012866,0.012613,,,
250,2.326427,,2.326427,2.339293,0.012866,,,,0.012866,0.006109,-0.006757,,,
251,2.339293,,2.339293,2.345402,0.006109,,,,0.006109,0.01488,0.008771,,,
252,2.345402,,2.345402,2.360282,0.01488,,,,0.01488,0.00495,-0.00993,,,
253,2.360282,,2.360282,2.365232,0.00495,,,,0.00495,0.01344,0.00849,,,
254,2.365232,,2.365232,2.378672,0.01344,,,,0.01344,0.006973,-0.006467,,,
255,2.378672,,2.378672,2.385645,0.006973,,,,0.006973,0.012523,0.00555,,,
256,2.385645,,2.385645,2.398168,0.012523,,,,0.012523,0.00703,-0.005493,,,
257,2.398168,,2.398168,2.405198,0.00703,,,,0.00703,0.012546,0.005516,,,
258,2.405198,,2.405198,2.417744,0.012546,,,,0.012546,0.00775,-0.004796,,,
259,2.417744,,2.417744,2.425494,0.00775,,,,0.00775,0.012456,0.004706,,,
260,2.425494,,2.425494,2.43795,0.012456,,,,0.012456,0.007328,-0.005128,,,
261,2.43795,,2.43795,2.445278,0.007328,,,,0.007328,0.016139,0.008811,,,
262,2.445278,,2.445278,2.461417,0.016139,,,,0.016139,0.004655,-0.011484,,,
263,2.461417,,2.461417,2.466072,0.004655,,,,0.004655,0.011949,0.007294,,,
264,2.466072,,2.466072,2.478021,0.011949,,,,0.011949,0.007819,-0.00413,,,
265,2.478021,,2.478021,2.48584,0.007819,,,,0.007819,0.01523,0.007411,,,
266,2.48584,,2.48584,2.50107,0.01523,,,,0.01523,0.005465,-0.009765,,,
267,2.50107,,2.50107,2.506535,0.005465,,,,0.005465,0.011759,0.006294,,,
268,2.506535,,2.506535,2.518294,0.011759,,,,0.011759,0.007202,-0.004557,,,
269,2.518294,,2.518294,2.525496,0.007202,,,,0.007202,0.012559,0.005357,,,
270,2.525496,,2.525496,2.538055,0.012559,,,,0.012559,0.007854,-0.004705,,,
271,2.538055,,2.538055,2.545909,0.007854,,,,0.007854,0.012408,0.004554,,,
272,2.545909,,2.545909,2.558317,0.012408,,,,0.012408,0.007273,-0.005135,,,
273,2.558317,,2.558317,2.56559,0.007273,,,,0.007273,0.012479,0.005206,,,
274,2.56559,,2.56559,2.578069,0.012479,,,,0.012479,0.008128,-0.004351,,,
275,2.578069,,2.578069,2.586197,0.008128,,,,0.008128,0.012046,0.003918,,,
276,2.586197,,2.586197,2.598243,0.012046,,,,0.012046,0.007143,-0.004903,,,
277,2.598243,,2.598243,2.605386,0.007143,,,,0.007143,0.013401,0.006258,,,
278,2.605386,,2.605386,2.618787,0.013401,,,,0.013401,0.007277,-0.006124,,,
279,2.618787,,2.618787,2.626064,0.007277,,,,0.007277,0.011743,0.004466,,,
280,2.626064,,2.626064,2.637807,0.011743,,,,0.011743,0.007587,-0.004156,,,
281,2.637807,,2.637807,2.645394,0.007587,,,,0.007587,0.012863,0.005276,,,
282,2.645394,,2.645394,2.658257,0.012863,,,,0.012863,0.006778,-0.006085,,,
283,2.658257,,2.658257,2.665035,0.006778,,,,0.006778,0.015242,0.008464,,,
284,2.665035,,2.665035,2.680277,0.015242,,,,0.015242,0.005196,-0.010046,,,
285,2.680277,,2.680277,2.685473,0.005196,,,,0.005196,0.012345,0.007149,,,
286,2.685473,,2.685473,2.697818,0.012345,,,,0.012345,0.007518,-0.004827,,,
287,2.697818,,2.697818,2.705336,0.007518,,,,0.007518,0.014083,0.006565,,,
288,2.705336,,2.705336,2.719419,0.014083,,,,0.014083,0.006145,-0.007938,,,
289,2.719419,,2.719419,2.725564,0.006145,,,,0.006145,0.012459,0.006314,,,
290,2.725564,,2.725564,2.738023,0.012459,,,,0.012459,0.007041,-0.005418,,,
291,2.738023,,2.738023,2.745064,0.007041,,,,0.007041,0.013016,0.005975,,,
292,2.745064,,2.745064,2.75808,0.013016,,,,0.013016,0.007461,-0.005555,,,
293,2.75808,,2.75808,2.765541,0.007461,,,,0.007461,0.012743,0.005282,,,
294,2.765541,,2.765541,2.778284,0.012743,,,,0.012743,0.006822,-0.005921,,,
295,2.778284,,2.778284,2.785106,0.006822,,,,0.006822,0.01468,0.007858,,,
296,2.785106,,2.785106,2.799786,0.01468,,,,0.01468,0.006143,-0.008537,,,
297,2.799786,,2.799786,2.805929,0.006143,,,,0.006143,0.015464,0.009321,,,
