No.,Time,,Time 1,Time 2,Delay,,Delay 1,Delay 2,Var delay,,,Total Delay,,Rata2 Delay
219,3.827016,,3.827016,3.827547,0.000531,,0.000531,0.000615,0.000084,,,,,
220,3.827547,,3.827547,3.828162,0.000615,,0.000615,0.008569,0.007954,,,,,
221,3.828162,,3.828162,3.836731,0.008569,,0.008569,0.000818,-0.007751,,,,,
222,3.836731,,3.836731,3.837549,0.000818,,0.000818,0.000795,-0.000023,,,,,
223,3.837549,,3.837549,3.838344,0.000795,,0.000795,0.000202,-0.000593,,,,,
224,3.838344,,3.838344,3.838546,0.000202,,0.000202,0.000418,0.000216,,,,,
225,3.838546,,3.838546,3.838964,0.000418,,0.000418,0.000355,-0.000063,,,,,
226,3.838964,,3.838964,3.839319,0.000355,,0.000355,0.003029,0.002674,,,,,
227,3.839319,,3.839319,3.842348,0.003029,,0.003029,0.000512,-0.002517,,,,,
228,3.842348,,3.842348,3.84286,0.000512,,0.000512,0.00027,-0.000242,,,,,
229,3.84286,,3.84286,3.84313,0.00027,,0.00027,0.003466,0.003196,,,,,
230,3.84313,,3.84313,3.846596,0.003466,,0.003466,0.000649,-0.002817,,,,,
231,3.846596,,3.846596,3.847245,0.000649,,0.000649,0.000699,0.00005,,,,,
232,3.847245,,3.847245,3.847944,0.000699,,0.000699,0.011849,0.01115,,,,,
233,3.847944,,3.847944,3.859793,0.011849,,0.011849,0,-0.011849,,,,,
234,3.859793,,3.859793,3.859793,0,,0,0,0,,,,,
235,3.859793,,3.859793,3.859793,0,,0,0.000771,0.000771,,,,,
236,3.859793,,3.859793,3.860564,0.000771,,0.000771,0.01485,0.014079,,,,,
237,3.860564,,3.860564,3.875414,0.01485,,0.01485,0.003474,-0.011376,,,,,
238,3.875414,,3.875414,3.878888,0.003474,,0.003474,0,-0.003474,,,,,
239,3.878888,,3.878888,3.878888,0,,0,0,0,,,,,
240,3.878888,,3.878888,3.878888,0,,0,0,0,,,,,
241,3.878888,,3.878888,3.878888,0,,0,0,0,,,,,
242,3.878888,,3.878888,3.878888,0,,0,0,0,,,,,
243,3.878888,,3.878888,3.878888,0,,0,0,0,,,,,
244,3.878888,,3.878888,3.878888,0,,0,0.000913,0.000913,,,,,
245,3.878888,,3.878888,3.879801,0.000913,,0.000913,0.004914,0.004001,,,,,
246,3.879801,,3.879801,3.884715,0.004914,,0.004914,0,-0.004914,,,,,
247,3.884715,,3.884715,3.884715,0,,0,0.000301,0.000301,,,,,
248,3.884715,,3.884715,3.885016,0.000301,,0.000301,0,-0.000301,,,,,
249,3.885016,,3.885016,3.885016,0,,0,0.000384,0.000384,,,,,
250,3.885016,,3.885016,3.8854,0.000384,,0.000384,0.007973,0.007589,,,,,
251,3.8854,,3.8854,3.893373,0.007973,,0.007973,0.000254,-0.007719,,,,,
252,3.893373,,3.893373,3.893627,0.000254,,0.000254,0.000407,0.000153,,,,,
253,3.893627,,3.893627,3.894034,0.000407,,0.000407,0.000594,0.000187,,,,,
254,3.894034,,3.894034,3.894628,0.000594,,0.000594,0.000253,-0.000341,,,,,
255,3.894628,,3.894628,3.894881,0.000253,,0.000253,0.000457,0.000204,,,,,
256,3.894881,,3.894881,3.895338,0.000457,,0.000457,0.008307,0.00785,,,,,
257,3.895338,,3.895338,3.903645,0.008307,,0.008307,0,-0.008307,,,,,
258,3.903645,,3.903645,3.903645,0,,0,0,0,,,,,
259,3.903645,,3.903645,3.903645,0,,0,0,0,,,,,
260,3.903645,,3.903645,3.903645,0,,0,0.000718,0.000718,,,,,
261,3.903645,,3.903645,3.904363,0.000718,,0.000718,0.003955,0.003237,,,,,
262,3.904363,,3.904363,3.908318,0.003955,,0.003955,0.001365,-0.00259,,,,,
263,3.908318,,3.908318,3.909683,0.001365,,0.001365,0,-0.001365,,,,,
264,3.909683,,3.909683,3.909683,0,,0,0.000262,0.000262,,,,,
